asof,exp008,regime_exp008,chosen_branch,selected_picks,exp010,regime_exp010,selected_top5,veto_triggered,delta
2026-02-06,0.0102130926595888,risk_off,independent_union_rerank,"300476,002463,601888,300274,688256",0.010213092659588897,neutral,"300476,002463,601888,300274,688256",False,9.71445146547012e-17
2026-02-13,-0.0127160624042417,risk_off,legal_minrisk_hardened,"600036,600900,601398,601166,601816",-0.012716062404241701,neutral,"600036,600900,601398,601166,601816",False,-1.734723475976807e-18
2026-03-02,0.0171082075124491,mixed_defensive,legal_minrisk_hardened,"600900,601398,600036,601166,601288",0.01710820751244917,neutral,"600900,601398,600036,601166,601288",False,6.938893903907228e-17
2026-03-09,0.0197652118840158,risk_off,legal_minrisk_hardened,"600900,601398,600036,601328,601166",0.01976521188401588,neutral,"600900,601398,600036,601328,601166",False,7.979727989493313e-17
2026-03-16,-0.0023352813847829,mixed_defensive,legal_minrisk_hardened,"600900,601398,600036,601166,601169",-0.0023352813847829167,neutral,"600900,601398,600036,601166,601169",False,-1.691355389077387e-17
2026-03-23,0.0148910536682658,risk_off,legal_minrisk_hardened,"600900,600036,601398,601166,601939",0.01299927056205821,defensive,"600900,600036,601006,601166,601939",True,-0.0018917831062075906
2026-03-30,-0.0057263599164897,mixed_defensive,legal_minrisk_hardened,"600900,600036,601166,601398,601328",-0.008657338790871317,defensive,"600900,600036,601939,601398,601328",True,-0.0029309788743816165
2026-04-07,0.0606132422513541,mixed_defensive,independent_union_rerank,"603799,688008,600023,688981,603259",0.060613242251354116,defensive,"603799,688008,600023,688981,603259",False,1.3877787807814457e-17
2026-04-14,0.0214004162329492,risk_on_strict,independent_union_rerank,"601111,688256,300476,300274,300760",0.02140041623294926,defensive,"601111,688256,300476,300274,300760",False,5.898059818321144e-17
2026-04-17,0.0827105328839978,risk_off,independent_union_rerank,"600893,600150,002384,601077,300274",0.08271053288399785,defensive,"600893,600150,002384,601077,300274",False,5.551115123125783e-17
