asof,spearman_ic,pearson_ic,top5_mean_future_return,top10_mean_future_return,top20_mean_future_return,bottom20_mean_future_return,hit_rate_positive_top5,hit_rate_future_top5_in_alpha_top20,bad_count_top5,very_bad_count_top5
2026-02-06,0.05673048865345335,0.20314541230573774,-0.02046250656483368,0.028294990577854416,0.016142539292764813,-0.005068525123896783,0.2,0.4,1,1
2026-02-13,-0.05876225417348406,-0.10077745161326694,-0.02969759954460798,-0.010540311628190446,-0.008912468996683015,0.04458718566247044,0.0,0.0,2,1
2026-03-02,0.08103909758186191,0.002874020020737301,0.01710820751244917,0.005967194278894483,-0.0026304888498034085,0.0008242476660635323,1.0,0.0,0,0
2026-03-09,0.2373342077144121,0.1298174912812455,0.019765211884015876,0.043075371915394525,0.030295744545074194,-0.006750194514152935,1.0,0.0,0,0
2026-03-16,0.2577896742129056,0.2081552775064062,-0.0023352813847829167,-0.009846187373700055,-0.005436426779169784,-0.06585572907133068,0.2,0.2,0,0
2026-03-23,0.01925289342297126,0.01634974574103566,0.004928527548363393,0.009433309738975836,0.000879904591501901,0.007904524656522426,0.8,0.0,1,0
2026-03-30,0.018303542807213143,-0.020481144761969057,-0.005726359916489754,-0.00728866404878209,-0.019572378532980224,-0.00842637714526694,0.0,0.0,0,0
2026-04-07,0.2875232266495453,0.33410155315820045,0.1290272643255709,0.09432466030961409,0.06476868649244003,0.0129477321842759,1.0,0.2,0,0
2026-04-14,0.07943777153079477,0.1248516273086361,-0.009992230890186794,0.001657940368854982,0.019090317296372776,-0.00423204924087886,0.2,0.0,0,0
2026-04-17,0.011290431191219051,0.015361514865316282,-0.01599914625970269,-0.007073717615453034,-0.002939548606081521,0.011269424733669747,0.4,0.2,2,0
